run_id,case_id,domain,condition,model_slot,repetition,prompt_hash,status
RUN_0037,PX_1004,accountability,C0,model_1,1,6bd839f0c0a6cee5c2ed34c82f3b8cf61edfa465d61da79f8301a199005197ad,pending
RUN_0053,PX_1005,robustness,C1,model_1,1,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,pending
RUN_0011,PX_1001,fairness,C2,model_2,1,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,pending
RUN_0017,PX_1002,fairness,C1,model_1,1,712d87e9719fab4a2d7789ae228190bf487c3482f3c912094a67f90fc247b7fa,pending
RUN_0023,PX_1002,fairness,C2,model_2,1,9648d2259a4074139dadd8759a780cf07a6b31fd1ec13f428bbaae3e88439339,pending
RUN_0052,PX_1005,robustness,C0,model_2,2,c694386613145f3a8a8d607d72e35459b3e57e302368d1f1ce8f52bbd26d284c,pending
RUN_0047,PX_1004,accountability,C2,model_2,1,08d81e56d9388c5014d8208acc7235fb5ad866a9e2ef5f74dbcda965dd709d0c,pending
RUN_0009,PX_1001,fairness,C2,model_1,1,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,pending
RUN_0030,PX_1003,robustness,C1,model_1,2,8d30aea691ea6645b3dff003c3a3a0746b9b00f5afbba99a7d9fd5fc6f781421,pending
RUN_0026,PX_1003,robustness,C0,model_1,2,5dd41d58d1fc7c42037f502a1775f8aebb195db1ae6166fc7346306c90d858fe,pending
RUN_0006,PX_1001,fairness,C1,model_1,2,815d6cde01baf1e4dde43bc4c3d325f45da7580263de6f78fbc3de3b04d6bd39,pending
RUN_0072,PX_1006,accountability,C2,model_2,2,8b9a4684d4a2e0e6e2ba7af989a250577a497adcf55e0b80f56d31c9934087e6,pending
RUN_0056,PX_1005,robustness,C1,model_2,2,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,pending
