blind_id,run_id,case_id,domain,expected_evidential_state,condition,model_slot,repetition,grounding_A,grounding_B,grounding_C,grounding_pattern,grounding_range,n_grounding_ge_3,limitation_A,limitation_B,limitation_C,limitation_unanimous,unsupported_A,unsupported_B,unsupported_C,unsupported_unanimous
ITEM_001,RUN_0047,PX_1004,accountability,procedural_evidence_incomplete,C2,model_2,1,3,3,3,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_002,RUN_0034,PX_1003,robustness,critical_evidence_missing,C2,model_1,2,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_003,RUN_0061,PX_1006,accountability,broad_procedural_evidence_present,C0,model_1,1,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_004,RUN_0059,PX_1005,robustness,broad_evidence_present,C2,model_2,1,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_005,RUN_0028,PX_1003,robustness,critical_evidence_missing,C0,model_2,2,2,4,4,two_same_one_different,2,2,1,1,1,1,0,0,0,1
ITEM_006,RUN_0010,PX_1001,fairness,broad_evidence_present,C2,model_1,2,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_007,RUN_0025,PX_1003,robustness,critical_evidence_missing,C0,model_1,1,2,4,3,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_008,RUN_0022,PX_1002,fairness,critical_evidence_missing,C2,model_1,2,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_009,RUN_0040,PX_1004,accountability,procedural_evidence_incomplete,C0,model_2,2,2,4,4,two_same_one_different,2,2,1,1,1,1,0,0,0,1
ITEM_010,RUN_0050,PX_1005,robustness,broad_evidence_present,C0,model_1,2,2,2,3,two_same_one_different,1,1,1,1,1,1,0,0,0,1
ITEM_011,RUN_0004,PX_1001,fairness,broad_evidence_present,C0,model_2,2,2,4,3,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_012,RUN_0007,PX_1001,fairness,broad_evidence_present,C1,model_2,1,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_013,RUN_0019,PX_1002,fairness,critical_evidence_missing,C1,model_2,1,2,3,3,two_same_one_different,1,2,1,1,1,1,0,0,0,1
ITEM_014,RUN_0062,PX_1006,accountability,broad_procedural_evidence_present,C0,model_1,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_015,RUN_0002,PX_1001,fairness,broad_evidence_present,C0,model_1,2,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_016,RUN_0008,PX_1001,fairness,broad_evidence_present,C1,model_2,2,2,3,4,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_017,RUN_0032,PX_1003,robustness,critical_evidence_missing,C1,model_2,2,2,4,2,two_same_one_different,2,1,1,0,0,0,0,0,0,1
ITEM_018,RUN_0016,PX_1002,fairness,critical_evidence_missing,C0,model_2,2,2,4,3,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_019,RUN_0063,PX_1006,accountability,broad_procedural_evidence_present,C0,model_2,1,1,4,2,all_different,3,1,0,0,0,1,0,0,0,1
ITEM_020,RUN_0027,PX_1003,robustness,critical_evidence_missing,C0,model_2,1,1,4,2,all_different,3,1,0,0,0,1,0,0,0,1
ITEM_021,RUN_0006,PX_1001,fairness,broad_evidence_present,C1,model_1,2,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_022,RUN_0043,PX_1004,accountability,procedural_evidence_incomplete,C1,model_2,1,3,3,3,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_023,RUN_0018,PX_1002,fairness,critical_evidence_missing,C1,model_1,2,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_024,RUN_0001,PX_1001,fairness,broad_evidence_present,C0,model_1,1,4,4,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_025,RUN_0037,PX_1004,accountability,procedural_evidence_incomplete,C0,model_1,1,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_026,RUN_0055,PX_1005,robustness,broad_evidence_present,C1,model_2,1,3,3,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_027,RUN_0033,PX_1003,robustness,critical_evidence_missing,C2,model_1,1,4,4,4,unanimous,0,3,1,1,1,1,0,0,0,1
ITEM_028,RUN_0003,PX_1001,fairness,broad_evidence_present,C0,model_2,1,2,4,3,all_different,2,2,1,1,1,1,0,0,0,1
ITEM_029,RUN_0064,PX_1006,accountability,broad_procedural_evidence_present,C0,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_030,RUN_0057,PX_1005,robustness,broad_evidence_present,C2,model_1,1,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_031,RUN_0054,PX_1005,robustness,broad_evidence_present,C1,model_1,2,3,3,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_032,RUN_0045,PX_1004,accountability,procedural_evidence_incomplete,C2,model_1,1,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_033,RUN_0039,PX_1004,accountability,procedural_evidence_incomplete,C0,model_2,1,2,3,2,two_same_one_different,1,1,1,1,1,1,0,0,0,1
ITEM_034,RUN_0052,PX_1005,robustness,broad_evidence_present,C0,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_035,RUN_0041,PX_1004,accountability,procedural_evidence_incomplete,C1,model_1,1,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_036,RUN_0058,PX_1005,robustness,broad_evidence_present,C2,model_1,2,4,3,3,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_037,RUN_0046,PX_1004,accountability,procedural_evidence_incomplete,C2,model_1,2,4,3,3,two_same_one_different,1,3,1,1,1,1,0,1,0,0
ITEM_038,RUN_0051,PX_1005,robustness,broad_evidence_present,C0,model_2,1,1,4,2,all_different,3,1,0,0,0,1,0,0,0,1
ITEM_039,RUN_0024,PX_1002,fairness,critical_evidence_missing,C2,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_040,RUN_0068,PX_1006,accountability,broad_procedural_evidence_present,C1,model_2,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
ITEM_041,RUN_0014,PX_1002,fairness,critical_evidence_missing,C0,model_1,2,3,4,4,two_same_one_different,1,3,1,1,1,1,0,0,0,1
