revision_run_id,initial_run_id,case_id,domain,condition,model_slot,repetition,update_id,update_type,prompt_hash,provider,model_id,status,initial_attribution,initial_confidence,initial_action,revised_attribution,confidence,revision_decision,justification,evidence_affected,input_tokens,output_tokens,total_tokens,executed_at_utc
RUN_0053__PX_1005_MD,RUN_0053,PX_1005,robustness,C1,model_1,1,PX_1005_MD,material_defeater,01659fae1ab9b1bd1e57e850aa8e1bd7fdceca7a372769f13191e1e21c268730,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,90,affirm,partially_supported,96,weaken,"The added evidence materially weakens the robustness case for the deployment context. Although the system showed only moderate drops under predefined perturbations and some out-of-distribution documents were flagged, the new hospital data show a large accuracy decline to 72.6% on 4,830 documents using templates that were not represented in the original validation corpus, despite those templates falling within the specified deployment categories. The out-of-distribution mechanism also flagged only 31.2% of these documents, indicating that a deployment-relevant variation was not handled robustly. This does not fully negate the earlier evidence of resilience under predefined tests, so the overall attribution remains partially supported rather than fully supported or unsupported.","[""A second hospital began using document templates that were not represented in the original validation corpus. These templates fall within the deployment categories specified for the system."", ""Accuracy for 4,830 documents using these templates was 72.6%."", ""The out-of-distribution mechanism flagged 31.2% of these documents."", ""No other measured deployment category showed a comparable change during the same period."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%.""]",1271,339,1610,2026-08-14T08:03:37.064581+00:00
RUN_0053__PX_1005_NC,RUN_0053,PX_1005,robustness,C1,model_1,1,PX_1005_NC,non_material_control,99e42fc9494f66576a6d3af6ae64ee14929985c532ceab41e1bc9402e4251e27,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,90,affirm,partially_supported,95,maintain,"The additional information states that the robustness-test report was migrated to a new document-management system, while the datasets, tested conditions, test procedures, and reported results were unchanged. This does not materially alter the evidential basis for operational robustness. The existing evidence still shows good performance under predefined perturbations, formatting variation, OCR degradation, and some out-of-distribution detection, but it remains limited to the stated tests and does not fully establish robustness across the entire deployment context. The unchanged migration details therefore leave the prior partial support conclusion intact.","[""The robustness-test report was migrated to a new document-management system."", ""The datasets, tested conditions, test procedures, and reported results were unchanged."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%.""]",1224,286,1510,2026-08-14T08:03:39.337796+00:00
RUN_0052__PX_1005_MD,RUN_0052,PX_1005,robustness,C0,model_2,2,PX_1005_MD,material_defeater,0e3e7917568801bc405871615066e35bb09ebacfa56374ad0b39fafae8d9e246,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,90,weaken,"The additional information shows a significant performance drop to 72.6% accuracy when encountering new, unseen document templates from a second hospital that fall within the specified deployment categories. Furthermore, the out-of-distribution mechanism failed to flag the majority (68.8%) of these low-accuracy documents. This demonstrates that the system's operational robustness does not consistently generalize to real-world template variations within its target domain.","[""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism.""]",1217,204,1938,2026-08-14T12:31:43.042700+00:00
RUN_0052__PX_1005_NC,RUN_0052,PX_1005,robustness,C0,model_2,2,PX_1005_NC,non_material_control,e5f1f517220adcf1cc6d24e7e475bf1fcd03a760b18c09ebf137cf011d8fa73d,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information only reports a migration of the robustness-test report to a new document-management system, explicitly noting that the datasets, tested conditions, test procedures, and reported results remain unchanged. This does not alter the factual basis or validity of the previous assessment.",[],1167,102,1324,2026-08-14T12:31:44.459815+00:00
RUN_0072__PX_1006_MD,RUN_0072,PX_1006,accountability,C2,model_2,2,PX_1006_MD,material_defeater,9f0a31a4018865946d914ce867758fe4f337e778c1a406c88272d8ce54c07286,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,90,weaken,"The additional audit findings reveal that the formal assignment of final decision-making authority to human reviewers is undermined in practice. Because exceeding a 12% override rate triggers a managerial review of reviewer performance (with no equivalent review for high agreement rates) and the majority of reviewers admit to considering this indicator, there is strong systemic pressure to conform to model recommendations. This compromises the independent judgment necessary for accountable human-in-the-loop decision-making.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1291,189,1883,2026-08-14T12:31:47.925090+00:00
RUN_0072__PX_1006_NC,RUN_0072,PX_1006,accountability,C2,model_2,2,PX_1006_NC,non_material_control,e4d1426b3545889d4f91bd42d68fce28843f9f06773a167c63a1b6ff0826ad20,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information regarding the role name change from 'Senior Claims Reviewer' to 'Claims Review Lead' does not materially affect the evidential basis, responsibilities, escalation rules, or decision authority of the role. Therefore, the attribution of 'supported' for accountable decision-making is maintained.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1228,136,1364,2026-08-14T12:31:49.290363+00:00
RUN_0056__PX_1005_MD,RUN_0056,PX_1005,robustness,C1,model_2,2,PX_1005_MD,material_defeater,afe2081cd9b14e8ac5060e12e5805d5653d45bc748eeffb426b2a9bd7801e136,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,95,weaken,"The initial assessment of operational robustness is weakened by new evidence from deployment. While laboratory-simulated perturbations and formatting variations showed high robustness, actual deployment at a second hospital using unrepresented templates within the deployment scope resulted in a severe performance drop to 72.6% accuracy. Furthermore, the out-of-distribution mechanism failed to flag the majority of these documents (only flagging 31.2%), demonstrating that the system's operational robustness is not fully supported in real-world deployment conditions.","[""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism.""]",1286,190,1825,2026-08-14T12:31:52.506353+00:00
RUN_0056__PX_1005_NC,RUN_0056,PX_1005,robustness,C1,model_2,2,PX_1005_NC,non_material_control,d9454e389909eb925905029c852b3e124650ea8a3699c5e6dc31ef80cdf91afc,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information regarding the migration of the robustness-test report to a new document-management system explicitly states that the datasets, tested conditions, test procedures, and reported results remained unchanged. Therefore, this administrative migration does not materially affect the evidential basis or reasoning supporting the original assessment of operational robustness.",[],1236,108,1344,2026-08-14T12:31:53.717063+00:00
RUN_0067__PX_1006_MD,RUN_0067,PX_1006,accountability,C1,model_2,1,PX_1006_MD,material_defeater,1f2acf0d599a560ab79b5b9031623c3dfeb38bea170964411df38b65cd2af9aa,gemini,gemini-3.5-flash,completed,supported,95,affirm,partially_supported,90,weaken,"The additional information reveals that reviewers are subject to performance-management metrics that penalize high override rates (above 12%) without corresponding scrutiny for high agreement rates, and a large majority of reviewers admit to considering this indicator when deciding whether to override a model recommendation. This systemic pressure compromises the independence of the human reviewer and undermines the documented allocation of decision responsibility, meaning that accountability is only partially supported in practice because human oversight is structurally disincentivized.","[""The documented procedure assigns the final case-level decision to the claims reviewer."", ""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1177,190,1596,2026-08-14T12:31:56.641275+00:00
RUN_0067__PX_1006_NC,RUN_0067,PX_1006,accountability,C1,model_2,1,PX_1006_NC,non_material_control,66a4a082b8111d5b1ee05f3c5774511a2a3ab50a5d3ac06c26b8c7bc9c34174c,gemini,gemini-3.5-flash,completed,supported,95,affirm,supported,95,maintain,"The additional information details a minor administrative change (renaming the 'Senior Claims Reviewer' role to 'Claims Review Lead') without any changes to responsibilities, escalation rules, or decision authority. This does not materially affect the evidence base, accountability structure, or the reasoning supporting the previous assessment.","[""Disagreements between the model recommendation and the reviewer are routed to an organisational role identified as Senior Claims Reviewer.""]",1114,136,1250,2026-08-14T12:31:58.064711+00:00
