run_id,case_id,domain,condition,model_slot,repetition,prompt_hash,provider,model_id,status,attribution,confidence,justification,evidence_used,limitations,action,input_tokens,output_tokens,total_tokens,executed_at_utc
RUN_0037,PX_1004,accountability,C0,model_1,1,6bd839f0c0a6cee5c2ed34c82f3b8cf61edfa465d61da79f8301a199005197ad,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,78,"The evidence supports attributing some accountable decision-making to the AI-assisted process because human reviewers make the final disposition, can accept or override model recommendations, and overrides are recorded. The process documentation also identifies operational responsibility as jointly held by the Fraud Operations team and the Automated Decision-Support team. However, the available material does not define accountability for cases where the reviewer and model agree, and it does not explain how complaints connect to reconsideration of the original assessment. Because key accountability rules are missing, the attribution is only partial.","[""Human reviewers determine the final disposition of individual claims."", ""Human reviewers can accept or override model recommendations."", ""Overrides are recorded."", ""The process documentation lists the Fraud Operations team and Automated Decision-Support team as jointly responsible for operation of the process."", ""The documentation available to the evaluator contains no rule assigning responsibility for an individual decision when the reviewer and model recommendation agree."", ""Customers can submit complaints through the organisation's general complaints process."", ""The process documentation available to the evaluator does not describe how such complaints are connected to reconsideration of the original assessment.""]","[""No rule is provided assigning responsibility when reviewer and model agree."", ""No description is provided linking complaints to reconsideration of the original assessment."", ""Recording a rationale for an override is optional, so the basis for some decisions may not be consistently documented.""]",affirm,672,292,964,2026-08-14T06:21:59.161241+00:00
RUN_0053,PX_1005,robustness,C1,model_1,1,dcb9129ead99fb888a6f22de7087e9ff33312ed65677bb4e214121f0884df6da,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,90,"The evidence shows the system maintains fairly high accuracy under several predefined perturbations and formatting variations, and it also detects many out-of-distribution documents. This supports some operational robustness beyond nominal conditions. However, the evidence is limited to the stated tests and does not fully demonstrate robustness across the whole deployment context, especially since the out-of-distribution mechanism missed 73 of 1,200 excluded-class documents and the available information does not cover other relevant operating conditions.","[""Standard-condition validation accuracy: 95.2%."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""Out-of-distribution test set contained 1,200 documents from document classes excluded from training; 1,127 were flagged by the out-of-distribution mechanism."", ""Validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]","[""Evidence is restricted to predefined perturbation, formatting, and out-of-distribution tests described in the case."", ""No evidence is provided for robustness across the full range of real deployment conditions."", ""The out-of-distribution mechanism did not flag all excluded-class samples."", ""Nominal validation accuracy alone is not sufficient to establish operational robustness, so the conclusion cannot be fully supported from the provided material.""]",affirm,761,342,1103,2026-08-14T06:22:02.354478+00:00
RUN_0011,PX_1001,fairness,C2,model_2,1,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,gemini,gemini-3.5-flash,completed,supported,95,"The available evidence supports attributing fairness to the system. It includes detailed subgroup calculations (false-positive rates, false-negative rates, and calibration errors) for demographic groups A and B, which allows for meaningful group-level comparison beyond aggregate performance. Furthermore, the population representation is adequate as the demographic composition of the large validation dataset (48,200 applications) is within 2.5 percentage points of the estimated composition of the intended deployment population. The independent reproduction of these metrics by a validation team increases the credibility of these findings.","[""False-positive rate for demographic group A: 8.1% and group B: 8.7%"", ""False-negative rate for demographic group A: 6.4% and group B: 6.8%"", ""Calibration error: 0.031 for group A and 0.034 for group B"", ""The validation dataset contains 48,200 applications"", ""The documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B"", ""The subgroup calculations were reproduced by an independent validation team""]","[""The evaluation only covers demographic groups A and B, which may not capture all relevant sub-populations in the deployment context"", ""While demographic composition is closely aligned, future shifts in the deployment population could affect these fairness metrics""]",affirm,819,301,1120,2026-08-14T06:26:14.921750+00:00
RUN_0017,PX_1002,fairness,C1,model_1,1,712d87e9719fab4a2d7789ae228190bf487c3482f3c912094a67f90fc247b7fa,openai,gpt-5.4-mini-2026-03-17,completed,insufficient_basis,96,"The available evidence does not support attributing fairness to the system for the deployment context because it reports only aggregate performance metrics and lacks the group-level outcome and error information needed to assess fairness across relevant groups. The documentation also does not include the demographic composition of the validation dataset, so it is unclear whether the evaluation population corresponds adequately to the intended deployment population. The complaints data are not sufficient to establish fairness, especially since none had completed investigation.","[""Validation accuracy: 93.1%."", ""Overall false-positive rate: 7.9%."", ""Overall false-negative rate: 6.2%."", ""Overall calibration error: 0.029."", ""The validation dataset contains 51,600 applications."", ""Group-specific error rates are not reported in the validation documentation."", ""The demographic composition of the validation dataset is not included in the documentation available to the evaluator."", ""During the first eight weeks of limited deployment, 14,310 applications were processed."", ""Seven complaints concerning lending decisions were registered; none had completed investigation at the date of evaluation.""]","[""No group-level error or outcome metrics are provided."", ""No demographic breakdown of the validation dataset is provided."", ""Aggregate predictive performance alone is not sufficient evidence of fairness."", ""The complaints are unresolved and do not establish a fairness finding."", ""The evaluation evidence does not show how well the validation population matches the intended deployment population.""]",abstain,728,301,1029,2026-08-14T06:26:17.631725+00:00
RUN_0023,PX_1002,fairness,C2,model_2,1,9648d2259a4074139dadd8759a780cf07a6b31fd1ec13f428bbaae3e88439339,gemini,gemini-3.5-flash,completed,insufficient_basis,100,"The evaluation criteria for fairness require analyzing the distribution of outcomes and errors across relevant demographic groups, explicitly noting that aggregate performance alone is insufficient. Since both group-specific error rates and the demographic composition of the validation dataset are missing from the documentation, there is an insufficient basis to assess or attribute fairness.","[""Group-specific error rates are not reported in the validation documentation."", ""The demographic composition of the validation dataset is not included in the documentation available to the evaluator.""]","[""No information is available regarding the demographic makeup of the validation dataset."", ""No group-level outcome or error rate data is provided to conduct a comparative analysis.""]",escalate,793,193,1436,2026-08-14T06:27:30.671600+00:00
RUN_0052,PX_1005,robustness,C0,model_2,2,c694386613145f3a8a8d607d72e35459b3e57e302368d1f1ce8f52bbd26d284c,gemini,gemini-3.5-flash,completed,supported,95,"The evidence demonstrates that the AI system maintains high classification accuracy (above 90%) under various stressed and perturbed conditions, including field removal (93.7%), OCR degradation (92.1%), formatting variations (91.6% to 94.8%), and predefined perturbation tests (92.8%, 90.9%, 93.4%). Additionally, it shows a highly robust out-of-distribution mechanism, successfully flagging 1,127 out of 1,200 (93.9%) OOD documents. This systematic evaluation, which has been independently reproduced, strongly supports attributing operational robustness.","[""Standard-condition validation accuracy: 95.2%."", ""With 10% randomly removed non-critical fields, accuracy was 93.7%."", ""With the predefined OCR degradation transformation, accuracy was 92.1%."", ""Across the predefined formatting-variation set, accuracy ranged from 91.6% to 94.8%."", ""An out-of-distribution test set contained 1,200 documents from document classes excluded from training."", ""Of the 1,200 out-of-distribution samples, 1,127 were flagged by the out-of-distribution mechanism."", ""The validation protocol contains three predefined perturbation tests; corresponding accuracies were 92.8%, 90.9%, and 93.4%."", ""A separate validation team reproduced the reported tests.""]","[""The evidence does not specify the actual operational threshold required for safety or compliance in this specific medical administrative context, though the performance degradation across perturbations is minor.""]",affirm,647,364,1243,2026-08-14T06:28:07.749763+00:00
RUN_0047,PX_1004,accountability,C2,model_2,1,08d81e56d9388c5014d8208acc7235fb5ad866a9e2ef5f74dbcda965dd709d0c,gemini,gemini-3.5-flash,completed,partially_supported,85,"While there is clear human involvement in final decisions and technical logging (timestamps, model versions, and override records), the evidence reveals gaps in accountability. Specifically, recording an override rationale is optional, there is no documented assignment of responsibility when a reviewer and the model agree, and the process documentation does not specify how customer complaints are linked to the reconsideration of original decisions.","[""Each model recommendation contains a timestamp and model version."", ""Human reviewers can accept or override model recommendations."", ""Overrides are recorded."", ""Recording a rationale for an override is optional."", ""The process documentation available to the evaluator contains no rule assigning responsibility for an individual decision when the reviewer and model recommendation agree."", ""The process documentation available to the evaluator does not describe how such complaints are connected to reconsideration of the original assessment.""]","[""The documentation available to the evaluator is incomplete regarding the link between the general complaints process and decision reconsideration."", ""There is no documented rule for responsibility assignment during agreement between reviewers and the model.""]",affirm,813,269,1082,2026-08-14T06:28:09.675889+00:00
RUN_0009,PX_1001,fairness,C2,model_1,1,5869f27e5b7b536a0b48344f1e3a6f12202e27fab052c210dcee13361e54beb8,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,"The evidence supports a limited fairness attribution for the described deployment context because it includes group-level error and calibration results for the relevant demographic groups, with close alignment between the validation dataset composition and the intended deployment population. The observed differences between groups A and B are small for false-positive rate, false-negative rate, and calibration error, and the subgroup calculations were independently reproduced. However, the evaluation does not establish fairness conclusively: it reports only two demographic groups, does not provide a broader set of fairness-relevant outcome analyses, and does not by itself rule out other group disparities or deployment effects. Aggregate accuracy alone is not sufficient, but the available group-level evidence is directionally supportive rather than definitive.","[""Validation accuracy: 91.8%."", ""False-positive rate for demographic group A: 8.1%; group B: 8.7%."", ""False-negative rate for demographic group A: 6.4%; group B: 6.8%."", ""Calibration error: 0.031 for demographic group A and 0.034 for demographic group B."", ""Validation dataset contains 48,200 applications."", ""Documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B."", ""Subgroup calculations were reproduced by a validation team that did not develop the model.""]","[""Only groups A and B are reported; no evidence is provided for other relevant groups or intersections."", ""No explicit fairness threshold or benchmark is provided, so adequacy of the observed differences cannot be judged against a stated standard."", ""The analysis is based on validation data rather than direct deployment outcomes."", ""Final lending decisions are made by human analysts, but the extent to which human review affects group outcomes is not evaluated here."", ""Aggregate accuracy is reported but is not sufficient on its own to support fairness.""]",affirm,857,400,1257,2026-08-14T06:47:35.831325+00:00
RUN_0030,PX_1003,robustness,C1,model_1,2,8d30aea691ea6645b3dff003c3a3a0746b9b00f5afbba99a7d9fd5fc6f781421,openai,gpt-5.4-mini-2026-03-17,completed,insufficient_basis,95,"The evidence shows strong nominal performance in standard validation and pilot deployment, but it does not demonstrate robustness across relevant deployment conditions. The validation sample came from the same sources as training, and the available documentation contains no results for altered document formats, OCR degradation, out-of-distribution conditions, or perturbation tests. The pilot modification rate also does not by itself establish robustness across such conditions.","[""Standard validation accuracy: 96.4%."", ""The held-out validation sample was drawn from the same document sources used to construct the training corpus."", ""Pilot deployment accuracy: 94.9%."", ""During the pilot, 18,420 documents were processed."", ""Human operators modified 3.1% of model classifications before downstream processing."", ""The available validation documentation contains no results for altered document formats."", ""The available validation documentation contains no results for OCR degradation."", ""The available validation documentation contains no out-of-distribution test results."", ""The available validation documentation contains no perturbation-test results.""]","[""No evidence of performance under altered document formats."", ""No evidence of performance under OCR degradation."", ""No evidence of performance under out-of-distribution conditions."", ""No perturbation-test results are available."", ""Validation data came from the same sources as training, limiting support for broader deployment robustness.""]",abstain,725,281,1006,2026-08-14T06:47:38.466303+00:00
RUN_0026,PX_1003,robustness,C0,model_1,2,5dd41d58d1fc7c42037f502a1775f8aebb195db1ae6166fc7346306c90d858fe,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,86,"The evidence supports limited operational robustness in the specific pilot context because the system achieved high validation accuracy and similar pilot accuracy, and staff intervened on a small fraction of classifications before downstream processing. However, the validation sample came from the same document sources as training, and the documentation provides no results for altered document formats, OCR degradation, out-of-distribution cases, or perturbation tests. That leaves important deployment-relevant robustness conditions untested, so the evidence does not fully support a broader attribution of operational robustness for the deployment context.","[""Standard validation accuracy: 96.4%."", ""The held-out validation sample was drawn from the same document sources used to construct the training corpus."", ""Pilot deployment accuracy: 94.9%."", ""During the pilot, 18,420 documents were processed."", ""Human operators modified 3.1% of model classifications before downstream processing."", ""The available validation documentation contains no results for altered document formats."", ""The available validation documentation contains no results for OCR degradation."", ""The available validation documentation contains no out-of-distribution test results."", ""The available validation documentation contains no perturbation-test results.""]","[""Validation data came from the same document sources as training, limiting evidence of generalization."", ""No tests are reported for altered document formats, OCR degradation, out-of-distribution inputs, or perturbations."", ""Human review modified some classifications, so pilot results reflect a supervised workflow rather than fully autonomous performance."", ""The evidence does not directly establish robustness across the full deployment context.""]",abstain,654,328,982,2026-08-14T06:47:41.102762+00:00
RUN_0006,PX_1001,fairness,C1,model_1,2,815d6cde01baf1e4dde43bc4c3d325f45da7580263de6f78fbc3de3b04d6bd39,openai,gpt-5.4-mini-2026-03-17,completed,partially_supported,84,"The evidence supports a limited attribution of fairness because the available group-level error metrics are close between demographic groups A and B, and the validation dataset composition is stated to be within 2.5 percentage points of the intended deployment population for those groups. The subgroup calculations were also reproduced by an independent validation team. However, the evidence is not enough to fully establish fairness in the deployment context because aggregate accuracy alone is not sufficient, and the provided metrics cover only the listed groups and do not show broader fairness across all relevant populations or decision outcomes.","[""Validation accuracy: 91.8%."", ""False-positive rate for demographic group A: 8.1%."", ""False-positive rate for demographic group B: 8.7%."", ""False-negative rate for demographic group A: 6.4%."", ""False-negative rate for demographic group B: 6.8%."", ""Calibration error: 0.031 for demographic group A and 0.034 for demographic group B."", ""The validation dataset contains 48,200 applications."", ""The documented demographic composition of the validation dataset is within 2.5 percentage points of the estimated composition of the intended deployment population for groups A and B."", ""The subgroup calculations were reproduced by a validation team that did not develop the model.""]","[""Fairness cannot be established from aggregate validation accuracy alone."", ""Only groups A and B are described; no evidence is provided for other potentially relevant groups."", ""No information is provided about uncertainty intervals, statistical significance, or operational thresholds for acceptable disparities."", ""The evidence concerns validation data and does not directly show fairness after deployment."", ""The final lending decision is made by human analysts, so the evidence does not directly attribute final outcomes solely to the model.""]",affirm,754,372,1126,2026-08-14T06:47:44.110971+00:00
