blind_id,run_id,case_id,domain,condition,model_slot,repetition,grounding_score,limitation_recognition,unsupported_evidence,grounding_A,grounding_B,grounding_C,limitation_A,limitation_B,limitation_C,unsupported_A,unsupported_B,unsupported_C
ITEM_001,RUN_0047,PX_1004,accountability,C2,model_2,1,3,1,0,3,3,3,1,1,1,0,0,0
ITEM_002,RUN_0034,PX_1003,robustness,C2,model_1,2,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_003,RUN_0061,PX_1006,accountability,C0,model_1,1,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_004,RUN_0059,PX_1005,robustness,C2,model_2,1,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_005,RUN_0028,PX_1003,robustness,C0,model_2,2,4,1,0,2,4,4,1,1,1,0,0,0
ITEM_006,RUN_0010,PX_1001,fairness,C2,model_1,2,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_007,RUN_0025,PX_1003,robustness,C0,model_1,1,3,1,0,2,4,3,1,1,1,0,0,0
ITEM_008,RUN_0022,PX_1002,fairness,C2,model_1,2,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_009,RUN_0040,PX_1004,accountability,C0,model_2,2,4,1,0,2,4,4,1,1,1,0,0,0
ITEM_010,RUN_0050,PX_1005,robustness,C0,model_1,2,2,1,0,2,2,3,1,1,1,0,0,0
ITEM_011,RUN_0004,PX_1001,fairness,C0,model_2,2,3,1,0,2,4,3,1,1,1,0,0,0
ITEM_012,RUN_0007,PX_1001,fairness,C1,model_2,1,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_013,RUN_0019,PX_1002,fairness,C1,model_2,1,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_014,RUN_0062,PX_1006,accountability,C0,model_1,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_015,RUN_0002,PX_1001,fairness,C0,model_1,2,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_016,RUN_0008,PX_1001,fairness,C1,model_2,2,3,1,0,2,3,4,1,1,1,0,0,0
ITEM_017,RUN_0032,PX_1003,robustness,C1,model_2,2,2,0,0,2,4,2,1,0,0,0,0,0
ITEM_018,RUN_0016,PX_1002,fairness,C0,model_2,2,3,1,0,2,4,3,1,1,1,0,0,0
ITEM_019,RUN_0063,PX_1006,accountability,C0,model_2,1,2,0,0,1,4,2,0,0,0,0,0,0
ITEM_020,RUN_0027,PX_1003,robustness,C0,model_2,1,2,0,0,1,4,2,0,0,0,0,0,0
ITEM_021,RUN_0006,PX_1001,fairness,C1,model_1,2,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_022,RUN_0043,PX_1004,accountability,C1,model_2,1,3,1,0,3,3,3,1,1,1,0,0,0
ITEM_023,RUN_0018,PX_1002,fairness,C1,model_1,2,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_024,RUN_0001,PX_1001,fairness,C0,model_1,1,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_025,RUN_0037,PX_1004,accountability,C0,model_1,1,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_026,RUN_0055,PX_1005,robustness,C1,model_2,1,3,1,0,3,3,4,1,1,1,0,0,0
ITEM_027,RUN_0033,PX_1003,robustness,C2,model_1,1,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_028,RUN_0003,PX_1001,fairness,C0,model_2,1,3,1,0,2,4,3,1,1,1,0,0,0
ITEM_029,RUN_0064,PX_1006,accountability,C0,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_030,RUN_0057,PX_1005,robustness,C2,model_1,1,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_031,RUN_0054,PX_1005,robustness,C1,model_1,2,3,1,0,3,3,4,1,1,1,0,0,0
ITEM_032,RUN_0045,PX_1004,accountability,C2,model_1,1,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_033,RUN_0039,PX_1004,accountability,C0,model_2,1,2,1,0,2,3,2,1,1,1,0,0,0
ITEM_034,RUN_0052,PX_1005,robustness,C0,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_035,RUN_0041,PX_1004,accountability,C1,model_1,1,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_036,RUN_0058,PX_1005,robustness,C2,model_1,2,3,1,0,4,3,3,1,1,1,0,0,0
ITEM_037,RUN_0046,PX_1004,accountability,C2,model_1,2,3,1,0,4,3,3,1,1,1,0,1,0
ITEM_038,RUN_0051,PX_1005,robustness,C0,model_2,1,2,0,0,1,4,2,0,0,0,0,0,0
ITEM_039,RUN_0024,PX_1002,fairness,C2,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_040,RUN_0068,PX_1006,accountability,C1,model_2,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_041,RUN_0014,PX_1002,fairness,C0,model_1,2,4,1,0,3,4,4,1,1,1,0,0,0
ITEM_042,RUN_0038,PX_1004,accountability,C0,model_1,2,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_043,RUN_0017,PX_1002,fairness,C1,model_1,1,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_044,RUN_0048,PX_1004,accountability,C2,model_2,2,3,1,0,3,3,3,1,1,1,0,0,0
ITEM_045,RUN_0065,PX_1006,accountability,C1,model_1,1,4,1,0,4,4,3,1,1,1,0,0,0
ITEM_046,RUN_0015,PX_1002,fairness,C0,model_2,1,3,1,0,1,3,3,1,1,1,0,0,0
ITEM_047,RUN_0029,PX_1003,robustness,C1,model_1,1,4,1,0,2,4,4,1,1,1,0,0,0
ITEM_048,RUN_0005,PX_1001,fairness,C1,model_1,1,3,1,0,2,3,4,1,1,1,0,0,0
ITEM_049,RUN_0069,PX_1006,accountability,C2,model_1,1,4,1,0,4,4,4,1,1,1,0,0,0
ITEM_050,RUN_0044,PX_1004,accountability,C1,model_2,2,3,1,0,2,3,3,1,1,1,0,0,0
ITEM_051,RUN_0035,PX_1003,robustness,C2,model_2,1,3,1,0,2,3,4,1,1,1,0,0,0
ITEM_052,RUN_0031,PX_1003,robustness,C1,model_2,1,3,1,0,2,3,4,1,1,1,0,0,0
